subEventName,description,count
Shot,"Counter attack, Right foot, Opportunity, Position: Out low left, Not accurate",3.0
Shot,"Goal, Right foot, Opportunity, Position: Goal high right, Accurate",3.0
Shot,"Counter attack, Right foot, Opportunity, Position: Out high center, Not accurate",3.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Out high center, Not accurate",2.0
Shot,"Counter attack, Left foot, Opportunity, Position: Out center left, Not accurate",2.0
Save attempt,"Goal, Position: Goal low right, Not accurate",2.0
Launch,"Fairplay, Accurate",2.0
Shot,"Head/body, Position: Out high right, Not accurate",2.0
Ground defending duel,"Free space left, Anticipated, Won, Accurate",2.0
Shot,"Goal, Counter attack, Left foot, Opportunity, Position: Goal center, Accurate",2.0
Foul,Second yellow card,2.0
Ground defending duel,"Sliding tackle, Anticipated, Lost, Not accurate",2.0
Cross,"Key pass, Counter attack, Right foot, Accurate",2.0
Ground attacking duel,"Take on left, Sliding tackle, Anticipation, Won, Accurate",2.0
Simple pass,"Fairplay, Accurate",2.0
Cross,"Right foot, Interception, Not accurate",2.0
Smart pass,"Key pass, Through, Not accurate",2.0
Ground attacking duel,"Interception, Anticipation, Neutral, Accurate",2.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Goal low center, Accurate",2.0
Ground attacking duel,"Interception, Take on right, Anticipation, Won, Accurate",2.0
Clearance,"Counter attack, Not accurate",2.0
Ground loose ball duel,"Opportunity, Lost, Not accurate",2.0
Shot,"Counter attack, Left foot, Opportunity, Position: Out low left, Not accurate",2.0
Smart pass,"Assist, Counter attack, Through, Accurate",2.0
Shot,"Left foot, Opportunity, Position: Goal center right, Accurate",2.0
Ground attacking duel,"Interception, Free space right, Lost, Not accurate",2.0
Ground attacking duel,"Counter attack, Anticipation, Lost, Not accurate",2.0
Shot,"Left foot, Position: Out high center, Not accurate",2.0
Ground loose ball duel,"Interception, Lost, Not accurate",2.0
Ground attacking duel,"Opportunity, Won, Accurate",2.0
High pass,"Interception, Through, Accurate",2.0
Ground attacking duel,"Dangerous ball lost, Free space right, Lost, Not accurate",2.0
Ground attacking duel,"Dangerous ball lost, Anticipation, Lost, Not accurate",2.0
Ground attacking duel,"Counter attack, Take on right, Neutral, Accurate",2.0
Shot,"Goal, Left foot, Opportunity, Position: Goal high right, Accurate",2.0
Air duel,"Key pass, Neutral, Accurate",2.0
Touch,Own goal,2.0
Save attempt,"Goal, Position: Goal low center, Not accurate",2.0
Save attempt,"Goal, Position: Goal low left, Not accurate",2.0
Free kick shot,"Goal, Right foot, Direct, Opportunity, Position: Goal high right, Accurate",2.0
Free kick cross,"Key pass, Accurate",2.0
Free kick shot,"Left foot, Direct, Opportunity, Position: Out high right, Not accurate",2.0
Launch,"Counter attack, Not accurate",2.0
Shot,"Head/body, Position: Out center left, Not accurate",2.0
Shot,"Left foot, Blocked, Interception, Not accurate",2.0
Ground defending duel,"Counter attack, Take on left, Lost, Not accurate",2.0
Hand pass,"Counter attack, Interception, Accurate",2.0
Shot,"Goal, Head/body, Opportunity, Position: Goal high right, Accurate",2.0
Shot,"Counter attack, Right foot, Blocked, Opportunity, Not accurate",2.0
High pass,"Key pass, Counter attack, Through, Accurate",2.0
Shot,"Left foot, Opportunity, Position: Post high left, Not accurate",2.0
Free kick shot,"Left foot, Direct, Blocked, Opportunity, Not accurate",2.0
Penalty,"Goal, Right foot, Position: Goal center right, Accurate",2.0
Shot,"Counter attack, Right foot, Opportunity, Position: Out high left, Not accurate",2.0
High pass,"Assist, Counter attack, Through, Accurate",2.0
Ground defending duel,"Free space right, Sliding tackle, Anticipated, Lost, Not accurate",2.0
Acceleration,"Interception, Not accurate",2.0
Shot,"Counter attack, Left foot, Opportunity, Position: Goal low center, Accurate",2.0
Shot,"Right foot, Opportunity, Position: Post high center, Not accurate",2.0
Ground attacking duel,"Dangerous ball lost, Free space left, Lost, Not accurate",2.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Goal high left, Accurate",2.0
Throw in,"Fairplay, Accurate",2.0
Free Kick,"Counter attack, Accurate",2.0
Ground attacking duel,"Interception, Free space left, Lost, Not accurate",2.0
Shot,"Goal, Counter attack, Right foot, Opportunity, Position: Goal center left, Accurate",2.0
Shot,"Goal, Left foot, Opportunity, Position: Goal low left, Accurate",2.0
